Frequency,Elevation,Azimuth
7000000.0,2,88
7000000.0,2,89
7000000.0,2,90
7000000.0,2,91
7000000.0,4,87
7000000.0,4,88
7000000.0,4,89
7000000.0,4,90
7000000.0,4,91
7000000.0,6,87
7000000.0,6,88
7000000.0,6,89
7000000.0,6,90
7000000.0,6,91
7000000.0,8,87
7000000.0,8,88
7000000.0,8,89
7000000.0,8,90
7000000.0,8,91
7000000.0,10,87
7000000.0,10,88
7000000.0,10,89
7000000.0,10,90
7000000.0,10,91
7000000.0,12,87
7000000.0,12,88
7000000.0,12,89
7000000.0,12,90
7000000.0,12,91
7000000.0,14,87
7000000.0,14,88
7000000.0,14,89
7000000.0,14,90
7000000.0,14,91
7000000.0,16,87
7000000.0,16,88
7000000.0,16,89
7000000.0,16,90
7000000.0,16,91
7000000.0,18,87
7000000.0,18,88
7000000.0,18,89
7000000.0,18,90
7000000.0,18,91
7000000.0,20,87
7000000.0,20,88
7000000.0,20,89
7000000.0,20,90
7000000.0,20,91
7000000.0,22,87
7000000.0,22,88
7000000.0,22,89
7000000.0,22,90
7000000.0,22,91
7000000.0,24,87
7000000.0,24,88
7000000.0,24,89
7000000.0,24,90
7000000.0,24,91
7000000.0,26,87
7000000.0,26,88
7000000.0,26,89
7000000.0,26,90
7000000.0,26,91
7000000.0,28,87
7000000.0,28,88
7000000.0,28,89
7000000.0,28,90
7000000.0,28,91
7000000.0,30,87
7000000.0,30,88
7000000.0,30,89
7000000.0,30,90
7000000.0,30,91
7000000.0,32,87
7000000.0,32,88
7000000.0,32,89
7000000.0,32,90
7000000.0,32,91
7000000.0,34,87
7000000.0,34,88
7000000.0,34,89
7000000.0,34,90
7000000.0,34,91
7000000.0,36,87
7000000.0,36,88
7000000.0,36,89
7000000.0,36,90
7000000.0,36,91
7000000.0,38,87
7000000.0,38,88
7000000.0,38,89
7000000.0,38,90
7000000.0,38,91
7000000.0,40,87
7000000.0,40,88
7000000.0,40,89
7000000.0,40,90
7000000.0,40,91
8000000.0,0,87
8000000.0,0,88
8000000.0,0,89
8000000.0,0,90
8000000.0,0,91
8000000.0,2,87
8000000.0,2,88
8000000.0,2,89
8000000.0,2,90
8000000.0,2,91
8000000.0,4,87
8000000.0,4,88
8000000.0,4,89
8000000.0,4,90
8000000.0,4,91
8000000.0,6,87
8000000.0,6,88
8000000.0,6,89
8000000.0,6,90
8000000.0,6,91
8000000.0,8,87
8000000.0,8,88
8000000.0,8,89
8000000.0,8,90
8000000.0,8,91
8000000.0,10,87
8000000.0,10,88
8000000.0,10,89
8000000.0,10,90
8000000.0,10,91
8000000.0,12,87
8000000.0,12,88
8000000.0,12,89
8000000.0,12,90
8000000.0,12,91
8000000.0,14,87
8000000.0,14,88
8000000.0,14,89
8000000.0,14,90
8000000.0,14,91
8000000.0,16,87
8000000.0,16,88
8000000.0,16,89
8000000.0,16,90
8000000.0,16,91
8000000.0,18,87
8000000.0,18,88
8000000.0,18,89
8000000.0,18,90
8000000.0,18,91
8000000.0,20,87
8000000.0,20,88
8000000.0,20,89
8000000.0,20,90
8000000.0,20,91
8000000.0,22,87
8000000.0,22,88
8000000.0,22,89
8000000.0,22,90
8000000.0,22,91
8000000.0,24,87
8000000.0,24,88
8000000.0,24,89
8000000.0,24,90
8000000.0,24,91
8000000.0,26,87
8000000.0,26,88
8000000.0,26,89
8000000.0,26,90
8000000.0,26,91
8000000.0,28,87
8000000.0,28,88
8000000.0,28,89
8000000.0,28,90
8000000.0,28,91
8000000.0,30,87
8000000.0,30,88
8000000.0,30,89
8000000.0,30,90
8000000.0,30,91
8000000.0,32,87
8000000.0,32,88
8000000.0,32,89
8000000.0,32,90
8000000.0,32,91
8000000.0,34,87
8000000.0,34,88
8000000.0,34,89
8000000.0,34,90
8000000.0,34,91
8000000.0,36,87
8000000.0,36,88
8000000.0,36,89
8000000.0,36,90
8000000.0,36,91
8000000.0,38,87
8000000.0,38,88
8000000.0,38,89
8000000.0,38,90
8000000.0,38,91
8000000.0,40,87
8000000.0,40,88
8000000.0,40,89
8000000.0,40,90
8000000.0,40,91
9000000.0,0,87
9000000.0,0,88
9000000.0,0,89
9000000.0,0,90
9000000.0,0,91
9000000.0,2,87
9000000.0,2,88
9000000.0,2,89
9000000.0,2,90
9000000.0,2,91
9000000.0,4,87
9000000.0,4,88
9000000.0,4,89
9000000.0,4,90
9000000.0,4,91
9000000.0,6,87
9000000.0,6,88
9000000.0,6,89
9000000.0,6,90
9000000.0,6,91
9000000.0,8,87
9000000.0,8,88
9000000.0,8,89
9000000.0,8,90
9000000.0,8,91
9000000.0,10,87
9000000.0,10,88
9000000.0,10,89
9000000.0,10,90
9000000.0,10,91
9000000.0,12,87
9000000.0,12,88
9000000.0,12,89
9000000.0,12,90
9000000.0,12,91
9000000.0,14,87
9000000.0,14,88
9000000.0,14,89
9000000.0,14,90
9000000.0,14,91
9000000.0,16,87
9000000.0,16,88
9000000.0,16,89
9000000.0,16,90
9000000.0,16,91
9000000.0,18,87
9000000.0,18,88
9000000.0,18,89
9000000.0,18,90
9000000.0,18,91
9000000.0,20,87
9000000.0,20,88
9000000.0,20,89
9000000.0,20,90
9000000.0,20,91
9000000.0,22,87
9000000.0,22,88
9000000.0,22,89
9000000.0,22,90
9000000.0,22,91
9000000.0,24,87
9000000.0,24,88
9000000.0,24,89
9000000.0,24,90
9000000.0,24,91
9000000.0,26,87
9000000.0,26,88
9000000.0,26,89
9000000.0,26,90
9000000.0,26,91
9000000.0,28,87
9000000.0,28,88
9000000.0,28,89
9000000.0,28,90
9000000.0,28,91
9000000.0,30,87
9000000.0,30,88
9000000.0,30,89
9000000.0,30,90
9000000.0,30,91
9000000.0,32,87
9000000.0,32,88
9000000.0,32,89
9000000.0,32,90
9000000.0,32,91
9000000.0,34,87
9000000.0,34,88
