latitude_pos_tx,longitude_pos_tx,elevation_pos_tx,fc,elevation,azimuth,year,mmdd,UTI,hour,delay,terrestrial_range,slant_range,final_latitude,final_longitude,final_elevation,latitudes,longitudes,elevations
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.74983550252944,-57.2648660794489,64865.72265619971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.768058448121906,-56.88335561703091,70244.62890619971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.78498365576752,-56.50227545737622,75767.578125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.80062478478017,-56.12165633394096,81434.5703125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.81498184661901,-55.74152898591084,87228.02734380029
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.82805482982486,-55.361910487428155,92667.96875
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.839857393711554,-54.98270179700843,96626.46484380029
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.85040320332253,-54.603708263699936,98713.37890619971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.859692264387355,-54.224735219362195,99161.62109380029
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.867724565446885,-53.84562214986891,98057.12890619971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.874513771544486,-53.46618806931174,95206.0546875
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.88005988840982,-53.08623147416372,90512.6953125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.884349245269796,-52.70558844692925,84801.26953119971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.88738184785408,-52.32422141876569,79045.8984375
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.88915770189219,-51.942154299201846,73434.5703125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.8896631308816,-51.5594144011358,67966.796875
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.88888449269717,-51.1760358843113,62644.53125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.88682177587975,-50.792049482184474,57473.6328125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.88347498042936,-50.407489337310345,52458.0078125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.87883045276174,-50.02238620033376,47598.14453119971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.872888187147325,-49.636774208080176,42894.04296880029
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.8656345300018,-49.25068752029332,38346.19140619971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.85706946986606,-48.864163700086245,33955.078125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.847193018199235,-48.47723348091509,29721.19140619971
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.83600516927178,-48.089931022523594,25644.53125
-42.28,-63.4,0.0,10000000.0,5.0,98.0,2010.0,0615,0.0,15.0,0.0050744199753,1493211.5680543364,1521273.0712891,-42.708922666215955,-45.1614361874318,0.0,-42.82349225804026,-47.702293882295216,21725.5859375
