Frequency,dB
1672531769.30596,3.14122913697054
1680351906.15835,3.12959478596456
1688172043.01075,3.18280408672437
1695992179.86314,3.25434950070392
1703812316.71553,3.41312545484143
1711632453.56793,3.58242381375439
1719452590.42032,3.67453404847173
1727272727.27272,3.77928760292029
1735092864.12511,3.73254986464534
1742913000.97751,3.60122991703985
1750733137.8299,3.42759600588527
1758553274.6823,3.30560151214238
1766373411.53469,3.28698347536263
1774193548.38709,3.37449316072782
1782013685.23948,3.52364741921543
1789833822.09188,3.71844688832041
1797653958.94427,3.89775194942732
1805474095.79667,4.00423081109645
1813294232.64906,3.98963271636789
1821114369.50146,3.86902846475891
1828934506.35385,3.69520726627204
1836754643.20625,3.49968774899364
1844574780.05864,3.3647016066561
1852394916.91104,3.34192268213585
1860215053.76343,3.39513305037842
1868035190.61583,3.5048088502228
1875855327.46822,3.66687866004824
1883675464.32062,3.78545667683418
1891495601.17301,3.80120532762763
1899315738.02541,3.79575857325772
1907135874.8778,3.70964586175347
1914956011.7302,3.57616733600746
1922776148.58259,3.4593354314028
1930596285.43498,3.38262113779808
1938416422.28738,3.35937540019074
1946236559.13977,3.40576642664612
1954056695.99217,3.42539946166844
1961876832.84456,3.46283983489757
1969696969.69696,3.52000429558718
1977517106.54935,3.55038966975584
1985337243.40175,3.58000018410599
1993157380.25414,3.60506289870204
2000977517.10654,3.63819985271928
2008797653.95893,3.64043450867657
2016617790.81133,3.62383089379731
2024437927.66372,3.59883125932815
2032258064.51612,3.62778260808795
2040078201.36851,3.62667643679947
2047898338.22091,3.57847305707347
2055718475.0733,3.64384090194577
2063538611.9257,3.7335008254473
2071358748.77809,3.86079865602747
2079178885.63049,3.89123277776993
2086999022.48288,3.9659571878124
2094819159.33528,3.97830376512866
2102639296.18767,3.92158184434396
2110459433.04007,3.91950969111006
2118279569.89246,3.93541469171947
2126099706.74486,3.9653436665545
2133919843.59725,4.03406654782056
2141739980.44964,4.13568753813985
2149560117.30204,4.3359007049031
2157380254.15443,4.51748867326641
2165200391.00683,4.61592218193963
2173020527.85922,4.57794829282836
2180840664.71162,4.56187811900904
2188660801.56401,4.55240215830969
2196480938.41641,4.48795979584508
2204301075.26881,4.54834215733922
2212121212.1212,4.6961722644535
2219941348.9736,4.86183325127568
2227761485.82599,5.03195924392404
2235581622.67839,5.20969726721606
2243401759.53078,5.3479190272053
2251221896.38318,5.45524104217533
2259042033.23557,5.48478258267116
2266862170.08797,5.50214643059918
2274682306.94036,5.59337424744913
2282502443.79276,5.70076390236283
2290322580.64515,5.73781468883072
2298142717.49755,5.79058547402413
2305962854.34994,5.90328510225237
2313782991.20234,6.05600173152441
2321603128.05473,6.22590425153797
2329423264.90713,6.42201528626275
2337243401.75952,6.73536262417533
2345063538.61192,7.00237662666275
2352883675.46431,7.24079871210578
2360703812.31671,7.39542831206177
2368523949.1691,7.53730946616643
2376344086.0215,7.56427944137351
2384164222.87389,7.5660800436841
2391984359.72629,7.56855756537631
2399804496.57868,7.62873837537974
2407624633.43108,7.96161125403985
2415444770.28347,8.35484037311186
2423264907.13587,8.84472742976756
2431085043.98826,9.1951500333394
2438905180.84066,9.42020946595945
2446725317.69305,9.53464714945428
2454545454.54545,9.51121487160613
2462365591.39784,9.4998016443145
2470185728.25024,9.51340021739915
2478005865.10263,9.57703595675159
2485826001.95503,9.7520183049255
2493646138.80742,10.1249824358118
2501466275.65982,10.3532853896965
2509286412.51221,10.6600085005079
2517106549.36461,10.8477443603278
2524926686.217,10.9754475421252
2532746823.0694,11.137419213282
2540566959.92179,11.3004307216432
2548387096.77419,11.2995636291851
